School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,lat,lon
Vanderbilt University,Southern,"$51,200.00","$104,000.00","$49,900.00","$68,100.00","$147,000.00","$222,000.00",36.14380105,-86.80281889095295
Davidson College,Southern,"$46,100.00","$104,000.00",,"$70,500.00","$146,000.00",,35.5032193,-80.83393027613258
University of Virginia (UVA),Southern,"$52,700.00","$103,000.00","$52,200.00","$71,800.00","$146,000.00","$215,000.00",38.0410576,-78.50549960183568
George Washington University (GWU),Southern,"$47,000.00","$97,900.00","$48,400.00","$69,600.00","$132,000.00","$194,000.00",38.9008731,-77.05035
Texas A&M University,Southern,"$49,700.00","$96,100.00","$51,100.00","$71,300.00","$131,000.00","$171,000.00",30.6108618,-96.35206061388457
Tulane University,Southern,"$49,100.00","$95,800.00","$46,500.00","$64,400.00","$134,000.00","$185,000.00",29.94121955,-90.12010089179185
Virginia Polytechnic Institute and State University (Virginia Tech),Southern,"$53,500.00","$95,400.00","$50,600.00","$71,400.00","$124,000.00","$163,000.00",37.22192675,-80.42728184013652
"University of Maryland, College Park",Southern,"$52,000.00","$95,000.00","$50,400.00","$68,300.00","$126,000.00","$166,000.00",38.990412449999994,-76.9438585924238
University of Richmond,Southern,"$48,600.00","$94,600.00","$44,500.00","$59,400.00","$151,000.00","$211,000.00",37.57586225,-77.54129937158409
University of Texas (UT) - Austin,Southern,"$49,700.00","$93,900.00","$50,100.00","$67,400.00","$129,000.00","$188,000.00",30.284458,-97.7342106
Emory University,Southern,"$52,000.00","$91,600.00","$52,500.00","$63,300.00","$128,000.00","$192,000.00",33.80045465,-84.31723780466274
"American University, Washington D.C.",Southern,"$45,300.00","$90,800.00","$45,200.00","$62,400.00","$134,000.00","$169,000.00",38.93804505,-77.08939223651926
University of Tulsa,Southern,"$42,400.00","$88,700.00","$42,300.00","$60,300.00","$120,000.00","$197,000.00",36.1523306,-95.94596023877983
Baylor University,Southern,"$48,300.00","$88,600.00","$46,300.00","$60,700.00","$130,000.00","$200,000.00",31.55043405,-97.1102905567766
University of Florida (UF),Southern,"$47,100.00","$87,900.00","$45,400.00","$62,900.00","$120,000.00","$172,000.00",26.08435255,-80.24017228339414
Louisiana State University (LSU),Southern,"$46,900.00","$87,800.00","$43,700.00","$61,300.00","$120,000.00","$165,000.00",30.405761849999998,-91.18597450265686
George Mason University,Southern,"$47,800.00","$86,900.00","$51,300.00","$67,200.00","$114,000.00","$150,000.00",38.83133325,-77.30798838879116
Clemson University,Southern,"$48,400.00","$86,000.00","$50,500.00","$61,800.00","$111,000.00","$150,000.00",34.66869155,-82.83743475607795
University of Georgia (UGA),Southern,"$44,100.00","$86,000.00","$43,100.00","$57,800.00","$118,000.00","$164,000.00",,
Auburn University,Southern,"$45,400.00","$84,700.00","$45,400.00","$62,700.00","$109,000.00","$145,000.00",32.591987700000004,-85.4959487362446
University of Delaware,Southern,"$45,900.00","$84,500.00","$44,500.00","$64,000.00","$119,000.00","$165,000.00",39.6803338,-75.75307489920786
Randolph-Macon College,Southern,"$42,600.00","$83,600.00",,"$54,100.00","$123,000.00",,37.762510500000005,-77.47954212782594
North Carolina State University (NCSU),Southern,"$47,200.00","$83,300.00","$49,200.00","$64,800.00","$112,000.00","$153,000.00",50.0864618,14.4189931
University of Oklahoma,Southern,"$44,700.00","$82,900.00","$41,200.00","$60,300.00","$114,000.00","$167,000.00",35.1959878,-97.44570827599858
University of Arkansas,Southern,"$44,100.00","$82,800.00","$43,200.00","$60,700.00","$113,000.00","$160,000.00",36.09352375,-94.17708979491738
University of Alabama at Huntsville (UAH),Southern,"$43,100.00","$82,700.00","$46,100.00","$67,800.00","$106,000.00","$132,000.00",,
Howard University,Southern,"$46,900.00","$81,800.00","$43,300.00","$60,000.00","$109,000.00","$138,000.00",38.921897200000004,-77.0195931491908
University of North Carolina at Chapel Hill (UNCH),Southern,"$42,900.00","$81,500.00","$43,400.00","$57,500.00","$117,000.00","$155,000.00",,
"University of Alabama, Tuscaloosa",Southern,"$41,300.00","$81,400.00","$40,100.00","$56,500.00","$117,000.00","$161,000.00",33.21208215,-87.53967345126999
University of Texas at Arlington (UTA),Southern,"$45,400.00","$80,800.00","$46,400.00","$61,200.00","$106,000.00","$138,000.00",32.728471299999995,-97.11202127009975
Oklahoma State University,Southern,"$42,800.00","$80,700.00","$40,100.00","$56,500.00","$114,000.00","$151,000.00",36.128476750000004,-97.08398055028107
Tennessee Technological University,Southern,"$46,200.00","$80,000.00","$42,100.00","$62,600.00","$99,500.00","$121,000.00",36.17487355,-85.50890513995023
University of Houston (UH),Southern,"$46,000.00","$79,900.00","$42,000.00","$56,200.00","$106,000.00","$141,000.00",29.7207902,-95.34406271491369
University of Mississippi,Southern,"$41,400.00","$79,700.00","$40,400.00","$53,500.00","$108,000.00","$186,000.00",34.3646125,-89.53963491020966
Lamar University,Southern,"$46,500.00","$79,400.00","$38,700.00","$51,600.00","$114,000.00","$158,000.00",30.03889465,-94.07589293260585
Mississippi State University (MSU),Southern,"$44,500.00","$79,300.00","$43,300.00","$58,800.00","$108,000.00","$151,000.00",32.36845735,-88.73705907206661
University of Kentucky (UK),Southern,"$42,800.00","$78,300.00","$43,000.00","$57,300.00","$107,000.00","$149,000.00",38.0326696,-84.50765879834395
Texas Christian University (TCU),Southern,"$45,100.00","$78,100.00","$42,600.00","$56,600.00","$122,000.00","$183,000.00",,
